地域コード,area,世帯人員,sum,Cereals,Seafood,Meat,MilkEggs,Vegetable,Fruits,Oils,Confectionery,Cooked,Beverage,Liquors
R01100,北海道,2.84,942332,82566,84827,90249,43907,108991,43061,43498,88834,105291,57927,54794
R02201,青森県,2.87,892205,73320,88164,86377,42258,109625,38018,42432,80244,118454,61813,57280
R03201,岩手県,3.12,937554,79379,78318,78536,51058,116050,42714,48183,89364,124634,60901,53764
R04100,宮城県,3,972504,75346,87423,87201,50740,122827,44647,45931,92701,132443,60471,47614
R05201,秋田県,2.72,911255,69223,84818,83125,43803,120009,46833,44431,82726,111170,52774,57253
R06201,山形県,3.21,997281,82167,76727,102538,50253,118562,48137,48227,94313,129577,58956,49023
R07201,福島県,2.99,955914,75424,77348,82233,50484,114409,49086,45244,91695,135951,63863,50302
R08201,茨城県,2.8,902730,69813,66992,77479,48750,102885,42303,41529,91369,129811,64930,32763
R09201,栃木県,2.9,955734,76983,71718,86076,48492,113355,41693,49120,87405,136326,64424,43617
R10201,群馬県,2.89,951786,81694,72688,74564,47078,108544,45296,45261,88031,141348,68803,39903
R11100,埼玉県,3.03,1066646,82418,74492,94116,52406,118617,43153,46359,98793,158492,66542,47727
R12100,千葉県,2.92,1034424,81277,80062,91984,52769,125451,44421,48119,90638,148498,65800,47034
R13100,東京都,2.92,1142651,82732,82422,104967,54295,129476,46800,49457,96043,163698,66597,53790
R14100,神奈川県,2.87,1064335,86213,82161,103593,52232,130811,45891,50245,92510,148331,63245,48376
R15100,新潟県,3.18,973050,84143,73641,83145,51344,125198,42063,48222,87047,136726,59665,52899
R16201,富山県,3.09,1012585,83487,84014,87526,48301,115674,45614,44311,93619,150266,60843,50587
R17201,石川県,3.23,1054923,88554,79717,103438,49824,114030,39188,47891,103570,140772,61110,47325
R18201,福井県,2.97,951361,84258,72703,94204,46686,112868,39617,41574,85101,147410,53910,37007
R19201,山梨県,2.9,948442,77073,71882,84363,45349,101856,42187,43044,84302,145330,61116,44448
R20201,長野県,2.89,917923,72018,74544,76055,46229,104970,42174,47988,81464,130809,54344,43483
R21201,岐阜県,2.99,967231,78434,68160,89743,48849,98996,38426,46103,91145,126638,58482,39004
R22100,静岡県,2.97,981690,86429,79043,92665,48343,114202,38709,45044,86110,149479,59957,37536
R23100,愛知県,2.92,971144,80416,69910,90386,48017,105410,40298,42736,86519,124977,56726,39873
R24201,三重県,2.96,939561,77428,76435,101933,47236,98440,39115,44503,91009,122782,55235,36229
R25201,滋賀県,3.01,1017197,84843,79960,118608,50427,120164,40278,48641,96472,129141,55443,42078
R26100,京都府,2.93,989309,85111,77704,115718,51750,119139,40902,45634,87238,128102,52838,40022
R27100,大阪府,2.93,973683,83334,77921,106269,46900,111000,36969,44165,81940,138453,56695,47014
R28100,兵庫県,2.88,962180,82441,69904,103478,50524,104908,40869,43572,84909,135355,52064,45199
R29201,奈良県,2.81,994435,81609,79906,111336,52206,114261,40449,47711,88649,133977,56908,45396
R30201,和歌山県,2.83,835616,78779,69912,104675,43599,90147,34275,41254,71299,112489,51585,32041
R31201,鳥取県,3.14,925803,77588,73853,94775,50091,97943,43266,46851,90616,116206,55900,42416
R32201,島根県,2.96,895673,73951,65211,87401,46277,104967,41717,46549,80925,120314,51570,41619
R33100,岡山県,3.13,907771,80709,63991,93934,47309,87893,36500,42149,86410,126632,57522,34623
R34100,広島県,3.01,964813,77577,70651,107605,51252,102463,39835,48250,86709,138632,56249,47602
R35203,山口県,3.06,907239,74045,70031,103749,46688,88597,35159,45716,90330,125545,57217,44018
R36201,徳島県,2.91,940407,76373,68177,98139,46033,98263,38519,43141,81372,140487,59056,39465
R37201,香川県,2.92,909903,76221,67598,92075,44438,89144,34467,43613,85426,126409,57911,39263
R38201,愛媛県,2.93,841786,74424,65192,95994,44216,89111,38191,42522,80860,116920,52617,34336
R39201,高知県,2.95,943314,74597,73960,89684,43274,93172,38257,43593,83312,146459,55687,46095
R40130,福岡県,2.98,942662,79244,69259,101977,45708,102848,35435,46078,89630,119072,54760,41084
R41201,佐賀県,2.89,914976,73623,70912,101401,43777,103217,32336,45152,80139,128450,56068,42065
R42201,長崎県,2.74,874976,79966,75676,90711,41622,98791,36978,43569,78581,122056,52955,37747
R43100,熊本県,3.09,906374,72694,60349,106539,43281,89461,29518,45693,82910,123441,56260,44939
R44201,大分県,2.82,847950,68127,62923,98062,42021,92105,36838,41560,79422,116038,52795,38956
R45201,宮崎県,2.92,875321,69230,61416,98432,41574,89331,36693,44865,78091,125352,56213,46073
R46201,鹿児島県,2.84,914988,73795,70512,98529,45221,100818,36171,47151,81930,116969,64135,37412
R47201,沖縄県,2.93,815819,73734,47634,75953,40843,95776,34407,40249,71747,129347,60132,35771
